sample	K1	K2	K3	K4	K5
And_490	0	0.3163	0.2617	0.4213	0.0007
And_491	0.6181	0.022	0.0153	0.2449	0.0996
And_492	0.5851	0.001	0.001	0.2328	0.1801
And_493	0	0.1053	0.2294	0.6652	0
And_494	0.6413	0.0047	0.031	0.014	0.309
And_495	0	1	0	0	0
And_496	0.666	0.0003	0.0003	0	0.3333
And_497	0.5892	0.0053	0.0017	0.2724	0.1314
And_498	0.506	0.0806	0.0137	0.2785	0.1213
And_499	0.6663	0.0007	0.001	0.0003	0.3317
And_500	0.3333	0	0	0	0.6667
And_501	0.666	0.0003	0.0003	0	0.3333
And_502	0.2715	0.0027	0.0367	0.6284	0.0607
And_503	0	0.3333	0.6667	0	0
And_504	0.7517	0.004	0.0017	0.1303	0.1123
And_505	0.7541	0.0057	0.0013	0.1259	0.113
And_506	0.126	0.1153	0.0717	0.6787	0.0083
And_507	0.7538	0.0053	0.0013	0.1271	0.1124
And_508	0	0.3835	0.1884	0.4271	0.001
And_509	0	0.3801	0.1904	0.4281	0.0013
And_510	0	0.2697	0.2617	0.4673	0.0013
And_511	0.7585	0.0007	0.141	0.0003	0.0994
And_512	0	0.314	0.2613	0.424	0.0007
And_513	0.3813	0.0423	0.113	0.3643	0.099
And_514	0	0.3333	0.6667	0	0
And_515	0	0.0003	0.9997	0	0
And_516	0	0	1	0	0
And_517	0	0.2458	0.3232	0.431	0
And_518	0.7567	0.0007	0.1419	0.0003	0.1003
And_519	0	0.7457	0.0003	0.254	0
And_520	0	0.3303	0.6627	0.007	0
And_521	0.6472	0.008	0.0757	0.1554	0.1137
And_522	0.0003	0.3825	0.1894	0.4269	0.001
And_523	0	0.3333	0.6667	0	0
And_524	0.005	0.3215	0.2934	0.3652	0.015
And_525	0.0007	0.3234	0.2112	0.4494	0.0153
And_526	0	0.3333	0.6667	0	0
And_527	0	0.3333	0.6667	0	0
And_528	0	0	1	0	0
And_529	0	0	1	0	0
And_530	0	0.2554	0.2891	0.4545	0.001
And_531	0	0	1	0	0
And_532	0.4128	0.0233	0.0303	0.3848	0.1487
And_533	0	0	1	0	0
And_534	0	0.3161	0.2568	0.4265	0.0007
And_535	0	0.7467	0.0003	0.253	0
